Ensembl.gene.ID	Ensembl.transcript.ID	RefSeq.mRNA.ID	Gene.name	UCSC.ID
ENSG00000214897	ENST00000633844	NM_001351294	PNMA6E	uc284rcg.1
ENSG00000214897	ENST00000633844	NM_001351293	PNMA6E	uc284rcg.1
ENSG00000225110	ENST00000436629	NM_001354980	PNMA6F	uc284rcf.1
ENSG00000276380	ENST00000618570	NM_001012989	UBE2NL	uc284rcc.1
ENSG00000282815	ENST00000632600	NM_001195272	TEX13C	uc284rcb.1
ENSG00000282419	ENST00000632372	NM_001355534	TEX13D	uc284rca.1
ENSG00000204131	ENST00000623354	NM_207422	NHSL2	uc284rbr.1
ENSG00000204131	ENST00000633930	NM_001013627	NHSL2	uc284rbn.1
ENSG00000215174	ENST00000434992	NM_001319967	NLRP2B	uc284rbm.1
ENSG00000223591	ENST00000602548	NM_001355277	CENPVL1	uc284rbl.1
ENSG00000283093	ENST00000634648	NM_001355278	CENPVL2	uc284rbk.1
ENSG00000224109	ENST00000417339	NM_001355276	CENPVL3	uc284rbj.1
ENSG00000165164	ENST00000378653	NM_001304548	CFAP47	uc284rad.1
ENSG00000186788	ENST00000445385	NM_207416	SPATA31D3	uc284qyq.1
ENSG00000189357	ENST00000419782	NM_001145197	SPATA31D4	uc284qyo.1
ENSG00000187791	ENST00000603640	NM_001309426	FAM205C	uc284qyi.1
ENSG00000187791	ENST00000340783	NM_001309427	FAM205C	uc284qyh.1
ENSG00000107262	ENST00000634734	NM_004323	BAG1	uc284qyf.1
ENSG00000107262	ENST00000634734	NM_001349286	BAG1	uc284qyf.1
ENSG00000080503	ENST00000382185	NM_001289399	SMARCA2	uc284qxm.1
ENSG00000129422	ENST00000634613	NM_001330470	MTUS1	uc284qjm.1
ENSG00000183117	ENST00000635120	NM_033225	CSMD1	uc284qjk.1
ENSG00000275896	ENST00000539842	NM_002770	PRSS2	uc284qbg.1
ENSG00000275896	ENST00000633969	NM_001303414	PRSS2	uc284qbe.1
ENSG00000105854	ENST00000633531	NM_000305	PON2	uc284qai.1
ENSG00000185040	ENST00000633306	NM_001351597	SPDYE16	uc284qaf.1
ENSG00000112297	ENST00000369066	NM_001624	CRYBG1	uc284pzd.1
ENSG00000274750	ENST00000614911	NM_003532	HIST1H3E	uc284pye.1
ENSG00000274290	ENST00000614097	NM_003523	HIST1H2BE	uc284pyb.1
ENSG00000280987	ENST00000361059	NM_199189	MATR3	uc284pxl.1
ENSG00000239642	ENST00000442687	NM_001303622	MEIKIN	uc284pxh.1
ENSG00000268223	ENST00000634632	NM_001195581	ARL14EPL	uc284pxd.1
ENSG00000164300	ENST00000509193	NM_178276	SERINC5	uc284pwz.1
ENSG00000164300	ENST00000509193	NM_001174071	SERINC5	uc284pwz.1
ENSG00000112941	ENST00000631941	NM_001171805	TENT4A	uc284pwu.1
ENSG00000112941	ENST00000631941	NM_006999	TENT4A	uc284pwu.1
ENSG00000181982	ENST00000635206	NM_001330643	CCDC149	uc284pwd.1
ENSG00000206113	ENST00000616117	NM_001193282	CFAP99	uc284pvw.1
ENSG00000225873	ENST00000416124	NM_001351480	C3orf86	uc284pty.1
ENSG00000225873	ENST00000634610	NM_001351479	C3orf86	uc284ptx.1
ENSG00000071282	ENST00000426878	NM_001278235	LMCD1	uc284ptr.1
ENSG00000100266	ENST00000634914	NM_001349970	PACSIN2	uc284pto.1
ENSG00000198792	ENST00000633438	NM_001195072	TMEM184B	uc284ptc.1
ENSG00000180957	ENST00000634017	NM_001284278	PITPNB	uc284psw.1
ENSG00000101040	ENST00000540497	NM_001281784	ZMYND8	uc284pri.1
ENSG00000101040	ENST00000540497	NM_001281781	ZMYND8	uc284pri.1
ENSG00000132793	ENST00000632009	NM_001301860	LPIN3	uc284pre.1
ENSG00000243910	ENST00000490341	NM_001355221	TUBA4B	uc284pqj.1
ENSG00000256671	ENST00000413601	NM_001205288	LIMS4	uc284ppy.1
ENSG00000071054	ENST00000634702	NM_145687	MAP4K4	uc284ppr.1
ENSG00000071054	ENST00000634702	NM_004834	MAP4K4	uc284ppr.1
ENSG00000204843	ENST00000633691	NM_023019	DCTN1	uc284ppm.1
ENSG00000144036	ENST00000634650	NM_001321731	EXOC6B	uc284ppl.1
ENSG00000144036	ENST00000634650	NM_001321729	EXOC6B	uc284ppl.1
ENSG00000144036	ENST00000634650	NM_001321730	EXOC6B	uc284ppl.1
ENSG00000144036	ENST00000634650	NM_001321734	EXOC6B	uc284ppl.1
ENSG00000223658	ENST00000475092	NM_001101330	C1GALT1C1L	uc284pot.1
ENSG00000105261	ENST00000633214	NM_001302757	OVOL3	uc284pmn.1
ENSG00000160117	ENST00000594072	NM_001278443	ANKLE1	uc284pmm.1
ENSG00000160117	ENST00000594072	NM_001278445	ANKLE1	uc284pmm.1
ENSG00000101489	ENST00000603232	NM_001353746	CELF4	uc284piq.1
ENSG00000101489	ENST00000603232	NM_001025087	CELF4	uc284piq.1
ENSG00000101489	ENST00000603232	NM_001353745	CELF4	uc284piq.1
ENSG00000101489	ENST00000603232	NM_001353741	CELF4	uc284piq.1
ENSG00000101489	ENST00000603232	NM_001353752	CELF4	uc284piq.1
ENSG00000101489	ENST00000603232	NM_001353721	CELF4	uc284piq.1
ENSG00000182473	ENST00000634349	NM_001145299	EXOC7	uc284okq.1
ENSG00000266714	ENST00000610510	NM_001309242	MYO15B	uc284ojh.1
ENSG00000186566	ENST00000635257	NM_001304943	GPATCH8	uc284oin.1
ENSG00000181291	ENST00000631683	NM_001304438	TMEM132E	uc284oib.1
ENSG00000103248	ENST00000634347	NM_001159380	MTHFSD	uc284nvu.1
ENSG00000103248	ENST00000634347	NM_022764	MTHFSD	uc284nvu.1
ENSG00000179918	ENST00000478753	NM_012248	SEPHS2	uc284nvr.1
ENSG00000134398	ENST00000256797	NM_033266	ERN2	uc284nvp.1
ENSG00000259332	ENST00000615374	NM_001199760	ST20-MTHFS	uc284nrm.1
ENSG00000136371	ENST00000559722	NM_001199758	MTHFS	uc284nrl.1
ENSG00000169118	ENST00000561349	NM_001329607	CSNK1G1	uc284nqe.1
ENSG00000283071	ENST00000634353	NM_001330236	LBHD2	uc284nlk.1
ENSG00000021645	ENST00000635466	NM_001330195	NRXN3	uc284nlg.1
ENSG00000033030	ENST00000633063	NM_001350936	ZCCHC8	uc284ngs.1
ENSG00000033030	ENST00000633063	NM_017612	ZCCHC8	uc284ngs.1
ENSG00000033030	ENST00000633063	NM_001350935	ZCCHC8	uc284ngs.1
ENSG00000179295	ENST00000635625	NM_001330437	PTPN11	uc284ngq.1
ENSG00000136021	ENST00000635101	NM_001330253	SCYL2	uc284ngj.1
ENSG00000136021	ENST00000635101	NM_001330254	SCYL2	uc284ngj.1
ENSG00000136021	ENST00000635101	NM_001330256	SCYL2	uc284ngj.1
ENSG00000155957	ENST00000542724	NM_001282609	TMBIM4	uc284ngc.1
ENSG00000179912	ENST00000634871	NM_001330123	R3HDM2	uc284ngb.1
ENSG00000180425	ENST00000623205	NM_001271562	C11orf71	uc284mzo.1
ENSG00000180425	ENST00000325636	NM_019021	C11orf71	uc284mzn.1
ENSG00000255151	ENST00000527482	NM_001355566	GLYATL1B	uc284mza.1
ENSG00000247595	ENST00000635674	NM_001355570	SPTY2D1OS	uc284myc.1
ENSG00000107745	ENST00000642044	NM_006077	MICU1	uc284mvz.1
ENSG00000048740	ENST00000637215	NM_001326327	CELF2	uc284mvf.1
ENSG00000048740	ENST00000638035	NM_001326328	CELF2	uc284mvf.1
ENSG00000048740	ENST00000638035	NM_001326320	CELF2	uc284mvf.1
ENSG00000048740	ENST00000636488	NM_001326326	CELF2	uc284mvf.1
ENSG00000048740	ENST00000636488	NM_001326325	CELF2	uc284mvf.1
ENSG00000048740	ENST00000632728	NM_001326345	CELF2	uc284mvf.1
